,stock_close,index_close,buy_signal
20200619,65.11,4098.7095,0.0
20200622,65.99,4102.0459,0.0
20200623,69.03,4121.7944,0.0
20200624,71.59,4138.9895,0.0
20200629,72.24,4109.7164,0.0
20200630,72.75,4163.9637,0.0
20200701,80.03,4247.7835,0.0
20200702,88.03,4335.8445,0.0
20200703,96.83,4419.5955,0.0
20200706,106.51,4670.0949,0.0
20200707,117.16,4698.1264,0.0
20200708,120.6,4774.0042,0.0
20200709,132.66,4840.7712,0.0
20200710,129.0,4753.1333,0.0
20200713,134.75,4852.9612,0.0
20200714,126.91,4806.6902,0.0
20200715,127.0,4744.4687,0.0
20200716,114.3,4516.2532,0.0
20200717,115.0,4544.7007,0.0
20200720,126.5,4680.3046,0.0
20200721,124.5,4691.0425,1.0
20200722,124.1,4714.4454,0.0
20200723,124.1,4712.4357,0.0
20200724,116.75,4505.5906,0.0
20200727,126.0,4528.45,0.0
20200728,126.19,4568.2576,0.0
20200729,128.99,4679.008,0.0
20200730,123.98,4656.1506,0.0
20200731,126.84,4695.0462,0.0
20200803,139.52,4771.3108,0.0
20200804,127.1,4775.8024,0.0
20200805,132.89,4777.1089,0.0
20200806,146.18,4762.7642,0.0
20200807,156.0,4707.9262,0.0
20200810,145.21,4724.8697,0.0
20200811,142.01,4681.7837,0.0
20200812,137.73,4647.6446,0.0
20200813,136.15,4635.7126,0.0
20200814,137.5,4704.6288,0.0
20200817,143.91,4815.2261,0.0
20200818,144.37,4812.7564,0.0
20200819,136.0,4740.6784,0.0
20200820,133.65,4679.1544,0.0
20200821,128.42,4718.8431,0.0
20200824,126.68,4755.8491,0.0
20200825,121.98,4761.9507,0.0
20200826,120.96,4706.1302,1.0
20200827,126.37,4731.3451,0.0
20200828,127.69,4844.2652,0.0
20200831,125.3,4816.2153,0.0
20200901,128.22,4842.1223,0.0
20200902,125.64,4843.887,0.0
20200903,123.3,4817.0952,0.0
20200904,124.42,4770.219,0.0
