,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,BBANDS_5days_1.5STD_upper,BBANDS_5days_1.5STD_middle,BBANDS_5days_1.5STD_lower,BBANDS_5days_2STD_upper,BBANDS_5days_2STD_middle,BBANDS_5days_2STD_lower,BBANDS_5days_2.5STD_upper,BBANDS_5days_2.5STD_middle,BBANDS_5days_2.5STD_lower,BBANDS_10days_1.5STD_upper,BBANDS_10days_1.5STD_middle,BBANDS_10days_1.5STD_lower,BBANDS_10days_2STD_upper,BBANDS_10days_2STD_middle,BBANDS_10days_2STD_lower,BBANDS_10days_2.5STD_upper,BBANDS_10days_2.5STD_middle,BBANDS_10days_2.5STD_lower,BBANDS_30days_1.5STD_upper,BBANDS_30days_1.5STD_middle,BBANDS_30days_1.5STD_lower,BBANDS_30days_2STD_upper,BBANDS_30days_2STD_middle,BBANDS_30days_2STD_lower,BBANDS_30days_2.5STD_upper,BBANDS_30days_2.5STD_middle,BBANDS_30days_2.5STD_lower,BBANDS_90days_1.5STD_upper,BBANDS_90days_1.5STD_middle,BBANDS_90days_1.5STD_lower,BBANDS_90days_2STD_upper,BBANDS_90days_2STD_middle,BBANDS_90days_2STD_lower,BBANDS_90days_2.5STD_upper,BBANDS_90days_2.5STD_middle,BBANDS_90days_2.5STD_lower,BBANDS_180days_1.5STD_upper,BBANDS_180days_1.5STD_middle,BBANDS_180days_1.5STD_lower,BBANDS_180days_2STD_upper,BBANDS_180days_2STD_middle,BBANDS_180days_2STD_lower,BBANDS_180days_2.5STD_upper,BBANDS_180days_2.5STD_middle,BBANDS_180days_2.5STD_lower,BBANDS_270days_1.5STD_upper,BBANDS_270days_1.5STD_middle,BBANDS_270days_1.5STD_lower,BBANDS_270days_2STD_upper,BBANDS_270days_2STD_middle,BBANDS_270days_2STD_lower,BBANDS_270days_2.5STD_upper,BBANDS_270days_2.5STD_middle,BBANDS_270days_2.5STD_lower,BBANDS_365days_1.5STD_upper,BBANDS_365days_1.5STD_middle,BBANDS_365days_1.5STD_lower,BBANDS_365days_2STD_upper,BBANDS_365days_2STD_middle,BBANDS_365days_2STD_lower,BBANDS_365days_2.5STD_upper,BBANDS_365days_2.5STD_middle,BBANDS_365days_2.5STD_lower,DEMA_5days,EMA_5days,SMA_5days,KAMA_5days,WMA_5days,TRIMA_5days,DEMA_10days,EMA_10days,SMA_10days,KAMA_10days,WMA_10days,TRIMA_10days,DEMA_30days,EMA_30days,SMA_30days,KAMA_30days,WMA_30days,TRIMA_30days,DEMA_90days,EMA_90days,SMA_90days,KAMA_90days,WMA_90days,TRIMA_90days,DEMA_180days,EMA_180days,SMA_180days,KAMA_180days,WMA_180days,TRIMA_180days,DEMA_270days,EMA_270days,SMA_270days,KAMA_270days,WMA_270days,TRIMA_270days,DEMA_365days,EMA_365days,SMA_365days,KAMA_365days,WMA_365days,TRIMA_365days,ADX_5days,ADXR_5days,AROONOSC_5days,DX_5days,MFI_5days,MOM_5days,RSI_5days,WILLR_5days,ADX_10days,ADXR_10days,AROONOSC_10days,DX_10days,MFI_10days,MOM_10days,RSI_10days,WILLR_10days,ADX_30days,ADXR_30days,AROONOSC_30days,DX_30days,MFI_30days,MOM_30days,RSI_30days,WILLR_30days,ADX_90days,ADXR_90days,AROONOSC_90days,DX_90days,MFI_90days,MOM_90days,RSI_90days,WILLR_90days,ADX_180days,ADXR_180days,AROONOSC_180days,DX_180days,MFI_180days,MOM_180days,RSI_180days,WILLR_180days,ADX_270days,ADXR_270days,AROONOSC_270days,DX_270days,MFI_270days,MOM_270days,RSI_270days,WILLR_270days,ADX_365days,ADXR_365days,AROONOSC_365days,DX_365days,MFI_365days,MOM_365days,RSI_365days,WILLR_365days,MACD_macd,MACD_macdsignal,MACD_macdhist,MAMA_mama,MAMA_fama,HT_TRENDLINE,SAR,SAREXT,ULTOSC,BOP,APO,PPO,CDLDOJI,CDLLONGLEGGEDDOJI,CDLRICKSHAWMAN
1014,002049.SZ,20150921,28.5,30.99,28.14,30.81,28.91,1.9,6.57,77581.53,231799.1434,30.803723111427765,28.347999999999995,25.892276888572226,31.622297481903686,28.347999999999995,25.073702518096304,32.44087185237961,28.347999999999995,24.255128147620383,32.50965423932005,29.605,26.70034576067995,33.4778723190934,29.605,25.7321276809066,34.44609039886675,29.605,24.76390960113325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.452868587105623,29.303860082304524,28.347999999999995,30.41735151726502,29.067999999999998,28.328888888888898,,29.68009090909091,29.605,28.941266803582266,29.150181818181814,29.098666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.74606070281014,37.74606070281014,-40.0,18.984929473982355,78.67004607540778,2.2300000000000004,65.30199065939334,-3.41555977229601,,,-70.0,7.760910815939252,64.2450551542617,1.759999999999998,55.294825511432,-26.867816091954033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.40720116529488,32.40720116529488,,0.8105263157894739,,,0,0,0
1013,002049.SZ,20150922,30.76,31.14,29.9,30.49,30.81,-0.32,-1.04,68942.09,210944.4193,31.016530839617673,29.302,27.587469160382327,31.58804111949023,29.302,27.015958880509768,32.15955139936279,29.302,26.44444860063721,32.507964359285396,29.604000000000003,26.70003564071461,33.475952479047194,29.604000000000003,25.73204752095281,34.44394059880899,29.604000000000003,24.764059401191012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.06216570644719,29.699240054869684,29.302,30.438979959016603,29.782,29.238888888888898,,29.82734710743802,29.604000000000003,28.94779106112734,29.311090909090904,28.83866666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.523782934584744,34.523782934584744,80.0,21.634671861683145,100.0,4.77,62.171494929614404,-11.992619926199296,,,-50.0,6.0834371108343275,72.12589274613713,-0.010000000000001563,54.13666710302395,-31.465517241379324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.13971311868308,32.13971311868308,,-0.21774193548387313,,,0,0,0
1012,002049.SZ,20150923,29.81,30.77,29.61,29.91,30.49,-0.58,-1.9,47178.41,142479.3967,31.17806443165245,29.625999999999998,28.073935568347544,31.695419242203272,29.625999999999998,27.556580757796723,32.21277405275409,29.625999999999998,27.039225947245903,31.951534602513547,29.365000000000002,26.778465397486457,32.81371280335139,29.365000000000002,25.916287196648607,33.675891004189246,29.365000000000002,25.05410899581076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.058279347660417,29.76949336991312,29.625999999999998,30.388271967075646,29.98466666666667,29.90555555555557,,29.842374906085652,29.365000000000002,28.97410381440366,29.366727272727267,28.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.16397643875169,30.16397643875169,80.0,12.724750455419457,87.08470440548854,1.620000000000001,56.08052071522368,-33.791208791208796,,,-50.0,9.122333303579357,59.46963734509778,-2.389999999999997,51.94554158350895,-37.27544910179638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.88292459393576,31.88292459393576,,0.08620689655172535,,,100,100,100
1011,002049.SZ,20150924,30.0,30.77,30.0,30.55,29.91,0.64,2.14,49487.91,150942.7634,31.152481222213208,30.133999999999997,29.115518777786786,31.491974962950945,30.133999999999997,28.77602503704905,31.83146870368868,30.133999999999997,28.436531296311312,31.803195913957968,29.302000000000003,26.80080408604204,32.63692788527729,29.302000000000003,25.96707211472272,33.47065985659661,29.302000000000003,25.133340143403395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.395632149570694,30.029662246608748,30.133999999999997,30.416384822222323,30.292666666666673,30.26333333333335,,29.971034014070078,29.302000000000003,28.987449607742775,29.58218181818181,28.96366666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.67613124208524,26.67613124208524,60.0,12.724750455419453,84.90378085724035,2.539999999999999,61.3089152287967,-17.82477341389726,,,-20.0,9.122333303579364,70.34476976863945,-0.629999999999999,54.21742194459998,-27.69461077844308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.636407610178328,31.636407610178328,,0.7142857142857156,,,0,0,0
1010,002049.SZ,20150925,30.6,30.86,29.0,29.39,30.55,-1.16,-3.8,51585.74,154090.9653,30.999077369320545,30.229999999999997,29.46092263067945,31.255436492427393,30.229999999999997,29.2045635075726,31.511795615534243,30.229999999999997,28.94820438446575,31.2532468996435,29.066000000000003,26.878753100356505,31.982329199524667,29.066000000000003,26.149670800475338,32.711411499405834,29.066000000000003,25.42058850059417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.918274267134077,29.816441497739167,30.229999999999997,30.3997390917378,30.044666666666675,30.223333333333358,,29.865391466057336,29.066000000000003,28.998189524634522,29.59818181818181,29.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.175872773046308,25.175872773046308,40.0,19.17483889689057,66.76622113424641,0.4800000000000004,48.2857115758537,-58.333333333333336,,,-20.0,20.12507954434284,61.962304667432555,-2.3599999999999994,49.50408672052276,-45.05988023952093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.399751305771193,31.399751305771193,,-0.6505376344086028,,,0,0,0
1009,002049.SZ,20150928,29.2,30.49,29.2,30.27,29.39,0.88,2.99,29169.36,87269.8553,30.76587576441522,30.121999999999996,29.478124235584772,30.980501019220295,30.121999999999996,29.263498980779698,31.19512627402537,30.121999999999996,29.048873725974623,31.469458827098855,29.235000000000003,27.00054117290115,32.214278436131806,29.235000000000003,26.255721563868203,32.95909804516475,29.235000000000003,25.51090195483525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.13630695636957,29.967627665159444,30.121999999999996,30.39660828733948,30.058000000000007,30.112222222222243,,29.938956654046912,29.235000000000003,29.026306755105136,29.8170909090909,29.627000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.97566599781516,23.97566599781516,20.0,19.174838896890563,60.28306619718072,-0.5399999999999991,56.95613250050053,-40.65420560747667,,,-20.0,20.125079544342835,71.85072442268869,1.6900000000000013,52.95167803519928,-16.05166051660518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.172561253540344,31.172561253540344,,0.8294573643410861,,,0,0,0
1008,002049.SZ,20150929,29.51,31.58,29.47,30.78,30.27,0.51,1.68,60409.66,185633.9247,30.915459040328603,30.179999999999996,29.44454095967139,31.16061205377147,30.179999999999996,29.199387946228523,31.40576506721434,30.179999999999996,28.954234932785653,31.21540844069777,29.740999999999996,28.26659155930222,31.706877920930364,29.740999999999996,27.77512207906963,32.198347401162955,29.740999999999996,27.283652598837037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.531398489766506,30.23841844343963,30.179999999999996,30.401318057523625,30.27733333333334,30.05555555555558,,30.09187362603838,29.740999999999996,29.276004106105237,30.097999999999992,29.932333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0971406034688,23.0971406034688,40.0,19.583039026083373,58.87741612698411,0.2900000000000027,61.61795042607295,-31.007751937984406,,,90.0,3.2957151254837025,84.62404502896092,5.060000000000002,54.93303555536573,-13.651877133105755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.72,25.72,,0.6018957345971564,,,0,0,0
1007,002049.SZ,20150930,30.88,31.6,30.18,30.7,30.78,-0.08,-0.26,41000.84,127287.466,31.09536781024917,30.337999999999994,29.58063218975082,31.347823746998895,30.337999999999994,29.328176253001093,31.60027968374862,30.337999999999994,29.075720316251367,31.314820693117184,29.981999999999992,28.6491793068828,31.75909425748958,29.981999999999992,28.204905742510405,32.203367821861974,29.981999999999992,27.760632178138007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.690172672413308,30.392278962293087,30.337999999999994,30.41448865245726,30.450666666666674,30.266666666666694,,30.202442057667767,29.981999999999992,29.375762306051982,30.27236363636363,30.105000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.513400373420133,22.513400373420133,60.0,20.178439453225465,78.16601197960912,0.7899999999999991,60.3366382457736,-34.61538461538468,,,100.0,3.0015178548745682,83.60645614479752,2.41,54.53276510491294,-21.951219512195166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8372,25.8372,,-0.12676056338028133,,,0,0,0
1006,002049.SZ,20151008,32.32,32.82,31.72,32.16,30.7,1.46,4.76,58330.4,188489.60199999998,32.00682961060494,30.65999999999999,29.31317038939504,32.45577281413992,30.65999999999999,28.864227185860056,32.90471601767491,30.65999999999999,28.415283982325075,31.654480516748038,30.39699999999999,29.139519483251945,32.073640688997386,30.39699999999999,28.720359311002596,32.492800861246735,30.39699999999999,28.301199138753248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.572942012210408,30.98151930819539,30.65999999999999,30.573210605656833,31.058000000000007,30.647777777777804,31.17603612468857,30.558361683546355,30.39699999999999,29.73850339042687,30.66836363636363,30.277333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.806938754188472,27.806938754188472,80.0,48.98109227726184,79.26844978842949,1.6099999999999959,73.09816215643329,-17.27748691099486,,,100.0,13.664539369030834,82.42191151475909,4.149999999999995,60.3859182142917,-13.226452905811692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.067712,26.067712,,-0.14545454545454864,,,100,100,100
1005,002049.SZ,20151009,31.9,33.15,31.8,32.69,32.16,0.53,1.65,47135.67,153740.0595,32.720874726733825,31.319999999999993,29.919125273266165,33.187832968978434,31.319999999999993,29.452167031021553,33.65479121122304,31.319999999999993,28.985208788776944,32.169729812544865,30.774999999999988,29.38027018745511,32.634639750059826,30.774999999999988,28.91536024994015,33.099549687574786,30.774999999999988,28.450450312425193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.324957050763516,31.55101287213026,31.319999999999993,31.437057496060458,31.734666666666676,31.215555555555586,31.768405504465566,30.945932286537925,30.774999999999988,30.093714567389096,31.08527272727272,30.474999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.15130927441724,33.15130927441724,100.0,54.52879135533229,100.0,3.299999999999997,76.52540000310447,-11.645569620253188,10.996924440604284,10.996924440604284,100.0,17.668298434035766,81.86519043728838,3.7799999999999976,62.341323987482546,-9.181636726546927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.472849280000002,26.472849280000002,,0.5851851851851855,,,0,0,0
1004,002049.SZ,20151106,35.96,35.96,35.96,35.96,32.69,3.27,10.0,873.08,3139.5957,35.32867866540334,32.45799999999999,29.58732133459665,36.285571553871115,32.45799999999999,28.630428446128867,37.2424644423389,32.45799999999999,27.673535557661086,34.009777564434586,31.289999999999985,28.570222435565384,34.91637008591279,31.289999999999985,27.66362991408718,35.82296260739099,31.289999999999985,26.757037392608982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.516412951146734,33.02067524808684,32.45799999999999,33.349162687776854,33.28133333333334,32.22222222222225,33.2764079651604,31.85758096171285,31.289999999999985,31.001455132239453,32.02799999999999,30.846333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.305679672077105,42.305679672077105,100.0,78.92316126271658,100.0,5.690000000000001,88.15924922218686,-0.0,14.174831390625013,14.174831390625013,100.0,42.77599394081156,78.89257305959221,5.150000000000002,71.86268980265709,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0070213376,27.0070213376,,0.0,,,100,0,0
1003,002049.SZ,20151109,39.56,39.56,39.56,39.56,35.96,3.6,10.01,31141.47,123195.6553,38.98192030134758,34.21399999999999,29.446079698652404,40.57122706846344,34.21399999999999,27.856772931536543,42.1605338355793,34.21399999999999,26.267466164420682,36.75667457720407,32.19699999999999,27.637325422795904,38.276566102938766,32.19699999999999,26.11743389706121,39.79645762867346,32.19699999999999,24.597542371326515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.65079191230074,35.200450165391224,34.21399999999999,36.02101267529092,35.648666666666685,33.84111111111115,35.56469364661197,33.258020786855965,32.19699999999999,33.091888371366466,33.53163636363636,31.528333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.577157444067495,51.577157444067495,100.0,88.66306853202904,100.0,8.780000000000001,92.96035155330709,-0.0,18.767120193640395,18.767120193640395,70.0,60.09771942077883,77.49124266221013,9.070000000000004,78.50926253464715,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.90231920384,27.90231920384,,0.0,,,100,0,0
